buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,offiNm,sggCd,sggNm,slerGbn,umdNm,지역구명
2015, , , ,"13,500",19,1,2021, , ,22.62,6,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"95,000",16,1,2021, , ,117.71,29,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구
2019, , , ,"93,000",15,1,2021, , ,84.9287,9,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구
2015, , , ,"14,000",19,1,2021, , ,22.62,9,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
 , , , ,"59,500",2,1,2021, , ,59.56,17,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구
2000, , , ,"7,500",29,1,2021, , ,31.7,6,958-2,훼미리타워,41117,수원시 영통구, ,영통동,수원시 영통구
 , , , ,"62,500",21,1,2021, , ,58.08,25,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구
2018, , , ,"16,500",18,1,2021, , ,22.83,10,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"16,500",14,1,2021, , ,22.83,15,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2014, ,21.04.01,O,"52,500",9,1,2021, , ,62.99,8,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"36,900",25,1,2021, , ,38.65,14,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2006, , , ,"34,500",14,1,2021, , ,91.0484,12,296-6,수원영통 아크로파크,41117,수원시 영통구, ,원천동,수원시 영통구
2015, , , ,"30,800",26,1,2021, , ,39.31,16,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"14,200",14,1,2021, , ,22.62,10,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
 , , , ,"59,800",9,1,2021, , ,58.08,26,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구
1999, , , ,"13,000",26,1,2021, , ,18.74,6,998-2,르네상스 시티프라자,41117,수원시 영통구, ,영통동,수원시 영통구
2018, ,21.01.28,O,"12,000",28,1,2021, , ,20.43,15,1351-6,광교유니코어,41117,수원시 영통구, ,이의동,수원시 영통구
2013, , , ,"12,500",26,1,2021, , ,26.679,9,1258-3,광교 파인렉스1,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"11,550",19,1,2021, , ,22.18,6,1258-1,킴앤코 시티하임II,41117,수원시 영통구, ,이의동,수원시 영통구
2019, , , ,"32,000",6,1,2021, , ,43.85,17,1016,광교 효성해링턴 타워,41117,수원시 영통구, ,하동,수원시 영통구
2013, , , ,"13,600",16,1,2021, , ,28.83,8,1257-3,Eastern Tower,41117,수원시 영통구, ,이의동,수원시 영통구
2005, ,21.03.09,O,"16,000",23,1,2021, , ,61.71,11,318-2,신동아파라디움오피스텔,41117,수원시 영통구, ,원천동,수원시 영통구
2018, , , ,"94,000",8,1,2021, , ,84.9967,12,593,광교아이파크,41117,수원시 영통구, ,원천동,수원시 영통구
2018, , , ,"92,800",15,1,2021, , ,84.95,15,593,광교아이파크,41117,수원시 영통구, ,원천동,수원시 영통구
2015, , , ,"31,800",19,1,2021, , ,41.91,17,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"14,000",14,1,2021, , ,22.62,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2013, , , ,"12,350",25,1,2021, , ,24.2753,13,1351-2,광교 코아루에스,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"14,000",11,1,2021, , ,24.97,13,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2003, , , ,"10,970",19,1,2021, , ,31.28,9,1024-14,경희유니빌,41117,수원시 영통구, ,영통동,수원시 영통구
2000, , , ,"6,500",16,1,2021, , ,29.27,11,958-2,훼미리타워,41117,수원시 영통구, ,영통동,수원시 영통구
2014, , , ,"43,000",19,1,2021, , ,62.99,6,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"19,700",20,1,2021, , ,28.92,6,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"17,300",17,1,2021, , ,22.83,5,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"35,000",9,1,2021, , ,46.91,9,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2006, , , ,"34,500",16,1,2021, , ,116.99,9,945-2,수원영통리슈빌스카이오피스텔,41117,수원시 영통구, ,영통동,수원시 영통구
 , , , ,"45,000",19,1,2021, , ,48.61,8,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구
 , , , ,"40,500",16,1,2021, , ,48.61,6,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구
