,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,본번,부번,offiNm,sggCd,sggNm.x,umdNm.x
405,12200,3142.857143,25.76112412,2005,43.47,6,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
406,12500,600,4.8,2005,43.47,7,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
407,14350,3766.666667,26.2485482,2005,43.47,9,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
408,13400,4450,33.20895522,2005,43.47,10,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
409,12000,12000,100,2005,43.47,11,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
410,11960,12000,100.3344482,2005,43.47,12,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
411,12500,5416.666667,43.33333333,2005,43.47,13,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
412,8725,1000,11.46131805,2005,43.47,15,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
413,12600,7700,61.11111111,2005,43.47,16,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
414,13800,833.3333333,6.038647343,2005,43.47,18,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
415,13800,13250,96.01449275,2005,44.64,11,1010,1,청광 노블하임,41113,수원시 권선구,권선동
416,13000,13000,100,2005,51.48,12,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
417,12000,13500,112.5,2005,53.75,11,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
418,13000,1000,7.692307692,2005,53.75,12,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
419,12000,14500,120.8333333,2005,53.75,15,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
420,12500,12575,100.6,2005,54,4,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
421,12000,1500,12.5,2005,54,5,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
422,13500,13000,96.2962963,2005,54,7,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
423,11325,7000,61.81015453,2005,54,9,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
424,12500,1000,8,2005,54,12,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
425,14000,10533.33333,75.23809524,2005,54,14,1134,9,트윈파크비동,41115,수원시 팔달구,인계동
